TIME,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
European Union - 27 countries (from 2020),26.45,25.96,25.92,26.30,26.13,25.20,24.98,24.82,24.77,24.92
European Union - 28 countries (2013-2020),25.69,25.30,25.30,25.61,25.47,:,:,:,:,:
European Union - 15 countries (1995-2004),26.67,26.62,26.62,26.55,26.31,:,:,:,:,:
Euro area – 20 countries (from 2023),27.60,27.49,27.40,27.34,27.24,26.35,26.29,26.00,25.68,26.00
Euro area - 19 countries  (2015-2022),27.70,27.58,27.54,27.46,27.32,26.43,26.19,26.69,:,:
Belgium,36.58,35.29,35.13,34.45,33.89,33.86,34.04,34.78,34.34,34.20
Bulgaria,21.61,21.27,21.70,22.11,22.14,22.16,17.61,18.23,17.59,18.10
Czechia,16.53,15.47,17.97,15.65,19.18,16.82,13.86,13.97,14.76,17.58
Denmark,32.72,32.71,32.67,32.67,32.86,32.85,32.36,32.64,32.80,32.81
Germany,34.06,34.16,34.16,34.18,33.70,32.81,32.23,32.49,31.82,31.76
Estonia,12.89,12.78,9.56,9.23,10.36,10.88,12.35,14.07,14.50,16.50
Ireland,22.34,21.66,21.64,22.06,24.44,24.91,25.78,25.37,25.32,25.36
Greece,24.70,25.60,25.69,26.00,26.08,24.50,23.67,24.86,25.95,25.78
Spain,19.44,19.42,19.27,19.46,19.56,18.92,19.70,19.96,20.48,21.04
France,24.98,24.98,24.93,24.38,23.99,22.89,23.62,23.81,23.62,24.14
Croatia,24.31,24.60,20.99,22.10,22.79,22.88,23.03,24.41,26.20,26.19
Italy,27.77,27.81,27.82,27.94,28.25,26.39,25.44,22.32,21.76,23.53
Cyprus,:,:,6.04,6.66,7.45,8.89,10.31,12.02,13.14,14.15
Latvia,22.04,22.09,22.95,22.56,22.20,22.00,20.83,19.11,20.54,21.93
Lithuania,21.61,20.67,19.17,18.92,32.64,30.97,31.91,32.87,33.58,33.75
Luxembourg,22.43,22.72,20.88,21.64,22.19,23.77,24.17,24.73,26.56,25.68
Hungary,25.69,24.24,24.40,24.52,24.80,25.58,26.14,27.13,28.03,28.66
Malta,18.29,18.98,19.40,20.00,20.69,21.13,20.18,20.61,20.77,21.33
Netherlands,26.20,25.54,25.69,25.92,24.69,23.85,23.37,24.06,23.06,22.88
Austria,29.05,25.92,26.34,26.77,24.77,23.65,25.08,22.80,24.12,24.05
Poland,22.53,17.95,17.05,17.17,14.90,13.15,13.22,13.23,14.97,12.65
Portugal,21.96,22.13,22.40,21.66,22.38,22.53,23.40,23.40,23.57,21.65
Romania,21.84,22.18,22.86,34.86,35.06,33.84,32.83,32.80,33.04,33.28
Slovenia,27.13,26.95,27.26,28.78,29.13,29.02,29.59,28.97,29.25,31.17
Slovakia,18.37,18.70,19.11,19.65,19.92,19.34,19.19,17.32,10.51,11.11
Finland,27.98,27.95,27.48,27.69,27.72,28.48,28.84,28.59,29.19,28.01
Sweden,21.32,21.71,21.91,21.61,21.05,21.21,21.06,21.03,20.90,20.13
Iceland,29.35,29.04,28.31,28.37,28.30,27.90,27.80,27.79,27.51,26.42
Norway,26.44,25.84,25.51,25.43,25.25,25.46,25.69,26.06,26.13,25.71
Switzerland,12.76,13.21,13.25,13.47,13.69,14.08,14.67,14.47,14.56,14.47
United Kingdom,20.92,21.05,21.16,21.20,21.18,:,:,:,:,:
Türkiye,26.85,26.84,27.63,28.05,28.44,28.33,28.81,27.34,27.30,28.37
United States,21.50,21.61,21.98,19.82,19.99,15.68,14.98,21.36,21.03,21.20
Japan,19.75,19.89,19.93,20.05,20.08,19.87,19.87,19.99,20.31,19.09
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
